
------------------------------
0.000000: Site DOWN --> site_22
Site_no_labor , 74, 0,450
Site_Down_2, 58, 0,450
Site_Down_3, 78, 0,450
WEWT70, 32, 0,219.9
WEWRR0, 32, 219.9,353.1
WEWTVK, 32, 353.1,436.35
Site_Down_4, 83, 0,450
Site_Main_1, 84, 0,450
Site_no_labor , 22, 0,82.5
Site Down, 22, 0,-1
Site_no_labor , 82, 0,357.5
WEWRUR, 76, 0,99.9
WEWTN0, 76, 99.9,199.8
WEWRV0, 76, 199.8,299.7
WEWRVE, 76, 299.7,399.6
Site_Down_1, 30, 0,450
WEWTGZ, 88, 0,99.9
WEWTH0, 88, 99.9,166.5
WEWR94, 88, 166.5,266.4
WEWUDT, 88, 266.4,333
WEWQ7X, 88, 333,399.6
WEWRCM, 75, 0,99.9
Temperature Transition95, 75, 99.9,159.9
WEWTYZ, 75, 159.9,259.8
WEWRP3, 75, 259.8,343.05
WEWRCP, 75, 343.05,409.65
WEWT9Y, 87, 0,99.9
WEWTZW, 87, 99.9,233.1
WEWTJX, 87, 233.1,366.3
WEWTNZ, 87, 366.3,432.9
WEWTFY, 40, 0,66.6
WEWRZU, 40, 66.6,216.45
WEWT0T, 40, 216.45,366.3
WEWT48, 40, 366.3,432.9
WEWTNU, 86, 0,99.9
WEWTV8, 86, 99.9,166.5
WEWT47, 86, 166.5,266.4
WEWUDW, 86, 266.4,366.3
WEWTTL, 86, 366.3,432.9
WEWT1B, 73, 0,83.25
WEWT1C, 73, 83.25,166.5
Temperature Transition20, 73, 166.5,196.5
WEWTPA, 73, 196.5,263.1
WEWTZA, 73, 263.1,329.7
WEWQ7Y, 73, 329.7,396.3
WEWR4Y, 26, 0,99.9
WEWTVB, 26, 99.9,166.5
WEWTHW, 26, 166.5,233.1
WEWRYR, 26, 233.1,366.3
WEWR4Z, 26, 366.3,432.9
WEWTVV, 34, 0,83.25
WEWTQR, 34, 83.25,183.15
WEWT3P, 34, 183.15,316.35
WEWTVN, 34, 316.35,416.25
WEWT9R, 81, 0,66.6
WEWRXB, 81, 66.6,133.2
WEWRX5, 81, 133.2,199.8
Temperature Transition50, 81, 199.8,229.8
WEWR7X, 81, 229.8,313.05
WEWTZE, 81, 313.05,379.65
WEWU84, 81, 379.65,429.6
WEWTZ5, 80, 0,83.25
WEWTNG, 80, 83.25,216.45
WEWTYM, 80, 216.45,349.65
WEWQ7C, 80, 349.65,416.25
WEWTLD, 72, 0,83.25
WEWT4F, 72, 83.25,149.85
WEWUB5, 72, 149.85,216.45
WEWTUG, 72, 216.45,316.35
WEWTMY, 72, 316.35,416.25
WEWTVR, 24, 0,133.2
WEWTVQ, 24, 133.2,266.4
WEWRPA, 24, 266.4,432.9
WEWTVD, 70, 0,99.9
WEWTY7, 70, 99.9,199.8
WEWRCU, 70, 199.8,266.4
WEWTT1, 70, 266.4,366.3
WEWTG1, 70, 366.3,432.9
WEWTVW, 89, 0,83.25
WEWRNX, 89, 83.25,249.75
WEWT3U, 89, 249.75,349.65
WEWTZN, 89, 349.65,432.9
WEWRWZ, 85, 0,166.5
WEWRW6, 85, 166.5,333
WEWTQY, 85, 333,432.9
 hours filled: 116

------------------------------
0.000000: Site DOWN --> site_86
WEWRWZ, 85, 0,166.5
WEWRW6, 85, 166.5,333
WEWTQY, 85, 333,432.9
WEWTVW, 89, 0,83.25
WEWRNX, 89, 83.25,249.75
WEWT3U, 89, 249.75,349.65
WEWTZN, 89, 349.65,432.9
WEWTVD, 70, 0,99.9
WEWTY7, 70, 99.9,199.8
WEWRCU, 70, 199.8,266.4
WEWTT1, 70, 266.4,366.3
WEWTG1, 70, 366.3,432.9
WEWTVR, 24, 0,133.2
WEWTZW, 24, 133.2,266.4
WEWRPA, 24, 266.4,432.9
WEWTLD, 72, 0,83.25
WEWT4F, 72, 83.25,149.85
WEWUB5, 72, 149.85,216.45
WEWTUK, 72, 216.45,316.35
WEWTMY, 72, 316.35,416.25
WEWTZ5, 80, 0,83.25
WEWTYM, 80, 83.25,216.45
WEWTNG, 80, 216.45,349.65
WEWTZE, 80, 349.65,416.25
WEWTVV, 34, 0,83.25
WEWTQR, 34, 83.25,183.15
WEWTJX, 34, 183.15,316.35
WEWTVP, 34, 316.35,416.25
WEWT9R, 81, 0,66.6
WEWRXB, 81, 66.6,133.2
WEWRX5, 81, 133.2,199.8
Temperature Transition50, 81, 199.8,229.8
WEWR7X, 81, 229.8,313.05
WEWQ7C, 81, 313.05,379.65
WEWU8V, 81, 379.65,429.6
WEWT1B, 73, 0,83.25
WEWT1C, 73, 83.25,166.5
Temperature Transition20, 73, 166.5,196.5
WEWTPA, 73, 196.5,263.1
WEWUDU, 73, 263.1,329.7
WEWTTL, 73, 329.7,396.3
WEWR4Y, 26, 0,99.9
WEWTVB, 26, 99.9,166.5
WEWTHW, 26, 166.5,233.1
WEWTVL, 26, 233.1,366.3
WEWR4Z, 26, 366.3,432.9
WEWTNU, 86, 0,99.9
Site Down, 86, 0,-1
WEWT9Y, 87, 0,99.9
WEWTVQ, 87, 99.9,233.1
WEWT3P, 87, 233.1,366.3
WEWTY4, 87, 366.3,432.9
WEWTFY, 40, 0,66.6
WEWT0T, 40, 66.6,216.45
WEWRZU, 40, 216.45,366.3
WEWT48, 40, 366.3,432.9
WEWRCM, 75, 0,99.9
Temperature Transition95, 75, 99.9,159.9
WEWTYZ, 75, 159.9,259.8
WEWRP3, 75, 259.8,343.05
WEWRCP, 75, 343.05,409.65
WEWTGZ, 88, 0,99.9
WEWTH0, 88, 99.9,166.5
WEWTV8, 88, 166.5,233.1
WEWR94, 88, 233.1,333
WEWT47, 88, 333,432.9
Site_Down_1, 30, 0,450
WEWRUR, 76, 0,99.9
WEWTL4, 76, 99.9,199.8
WEWTN0, 76, 199.8,299.7
WEWRV0, 76, 299.7,399.6
Site_no_labor , 82, 0,357.5
Site_no_labor , 22, 0,82.5
Site Down, 22, 0,-1
Site_Main_1, 84, 0,450
Site_Down_4, 83, 0,450
WEWT70, 32, 0,219.9
WEWTVJ, 32, 219.9,353.1
WEWTVM, 32, 353.1,436.35
Site_Down_3, 78, 0,450
Site_Down_2, 58, 0,450
Site_no_labor , 74, 0,450
 hours filled: 112

------------------------------
0.000000: Site DOWN --> site_84
Site_no_labor , 74, 0,450
Site_Down_2, 58, 0,450
Site_Down_3, 78, 0,450
WEWT70, 32, 0,219.9
WEWRR0, 32, 219.9,353.1
WEWTVM, 32, 353.1,436.35
Site_Down_4, 83, 0,450
Site_Main_1, 84, 0,450
Site Down, 84, 0,-1
Site_no_labor , 22, 0,82.5
Site Down, 22, 0,-1
Site_no_labor , 82, 0,357.5
WEWRUR, 76, 0,99.9
WEWRVE, 76, 99.9,199.8
WEWTL4, 76, 199.8,299.7
WEWTN0, 76, 299.7,399.6
