
------------------------------
0.000000: Added test WEWRKP to the queue and rescheduled
WEWTZN, 83, 99.9,183.15
WEWTUM, 83, 183.15,283.05
WEWTXX, 83, 283.05,366.3
WEWU9N, 83, 366.3,432.9
Site_no_labor, 32, 0,450
Site_Down_3, 78, 0,450
Site_Down_2, 58, 0,450
WEWTYY, 74, 0,99.9
WEWTV1, 74, 99.9,199.8
WEWTHE, 74, 199.8,299.7
WEWQZ7, 74, 299.7,366.3
WEWU8T, 74, 366.3,432.9
 hours filled: 119

------------------------------
0.000000: Added test WEWP8W to the queue and rescheduled
WEWTYY, 74, 0,99.9
WEWTV1, 74, 99.9,199.8
WEWTQP, 74, 199.8,299.7
WEWTQ9, 74, 299.7,366.3
WEWUA1, 74, 366.3,432.9
Site_Down_2, 58, 0,450
Site_Down_3, 78, 0,450
Site_no_labor, 32, 0,450
WEWR9C, 83, 0,99.9
WEWTZN, 83, 99.9,183.15
WEWTUM, 83, 183.15,283.05
WEWT27, 83, 283.05,366.3
WEWU8L, 83, 366.3,432.9
WEWRCM, 84, 0,99.9
WEWRCR, 84, 99.9,183.15
WEWRCP, 84, 183.15,249.75
WEWTV8, 84, 249.75,316.35
WEWTVD, 84, 316.35,416.25
WEWTJM, 22, 0,99.9
WEWTY2, 22, 99.9,199.8
WEWR9L, 22, 199.8,283.05
WEWTR9, 22, 283.05,382.95
Site_Main_1, 82, 0,450
WEWTN0, 76, 0,99.9
WEWTNM, 76, 99.9,199.8
WEWTHK, 76, 199.8,299.7
WEWQZ7, 76, 299.7,366.3
WEWU7X, 76, 366.3,432.9
Site_Down_1, 30, 0,450
WEWTQL, 88, 0,99.9
WEWQ6T, 88, 99.9,199.8
WEWN1N, 88, 199.8,266.4
WEWTRF, 88, 266.4,366.3
WEWU7W, 88, 366.3,432.9
Site_no_labor, 75, 0,450
WEWR9T, 87, 0,99.9
WEWTZK, 87, 99.9,183.15
WEWRVT, 87, 183.15,283.05
WEWTQE, 87, 283.05,366.3
WEWU8T, 87, 366.3,432.9
WEWRR0, 40, 0,133.2
WEWTVJ, 40, 133.2,266.4
WEWRZK, 40, 266.4,366.3
WEWU9Q, 40, 366.3,432.9
Site_no_labor, 86, 0,450
WEWUDU, 73, 0,66.6
WEWP8W, 73, 66.6,66.6
WEWTYW, 73, 66.6,133.2
WEWTNZ, 73, 133.2,199.8
WEWTR6, 73, 199.8,283.05
WEWTXX, 73, 283.05,366.3
WEWU8M, 73, 366.3,432.9
WEWT05, 26, 0,133.2
WEWTVL, 26, 133.2,266.4
WEWT0G, 26, 266.4,366.3
WEWU9N, 26, 366.3,432.9
WEWR8H, 34, 0,99.9
WEWTQW, 34, 99.9,199.8
WEWU1F, 34, 199.8,299.7
WEWUAV, 34, 299.7,399.6
WEWTQJ, 81, 0,99.9
WEWTQU, 81, 99.9,199.8
WEWTRD, 81, 199.8,283.05
WEWTWX, 81, 283.05,366.3
WEWU82, 81, 366.3,432.9
WEWRWM, 80, 0,166.5
WEWRC2, 80, 166.5,333
WEWU6E, 80, 333,416.25
WEWU11, 72, 0,99.9
WEWRZ7, 72, 99.9,199.8
WEWT2G, 72, 199.8,283.05
WEWTR5, 72, 283.05,366.3
WEWUA0, 72, 366.3,432.9
WEWRPA, 24, 0,166.5
WEWTQG, 24, 166.5,266.4
WEWTVA, 24, 266.4,382.95
WEWU0Z, 70, 0,99.9
WEWTY6, 70, 99.9,199.8
WEWTHE, 70, 199.8,299.7
WEWTQB, 70, 299.7,382.95
WEWU84, 70, 382.95,432.9
WEWTUD, 89, 0,99.9
WEWTNQ, 89, 99.9,199.8
WEWTU5, 89, 199.8,333
WEWUAX, 89, 333,432.9
Site_no_labor, 85, 0,450
 hours filled: 119

------------------------------
0.000000: Added test WEWU8M to the queue and rescheduled
Site_no_labor, 85, 0,450
WEWTUD, 89, 0,99.9
WEWTNQ, 89, 99.9,199.8
WEWU8M, 89, 199.8,199.8
WEWTU5, 89, 199.8,333
WEWUAV, 89, 333,432.9
WEWU0Z, 70, 0,99.9
WEWTY6, 70, 99.9,199.8
WEWTQP, 70, 199.8,299.7
WEWTWX, 70, 299.7,382.95
WEWU84, 70, 382.95,432.9
WEWRPA, 24, 0,166.5
WEWTNM, 24, 166.5,266.4
WEWTVA, 24, 266.4,382.95
WEWU11, 72, 0,99.9
WEWRZ7, 72, 99.9,199.8
WEWTRD, 72, 199.8,283.05
WEWTQB, 72, 283.05,366.3
WEWU8L, 72, 366.3,432.9
WEWRWM, 80, 0,166.5
WEWRC2, 80, 166.5,333
WEWU6E, 80, 333,416.25
WEWR8H, 34, 0,99.9
WEWTQU, 34, 99.9,199.8
WEWTHK, 34, 199.8,299.7
WEWUAX, 34, 299.7,399.6
WEWTQJ, 81, 0,99.9
WEWTQW, 81, 99.9,199.8
WEWT2G, 81, 199.8,283.05
WEWT27, 81, 283.05,366.3
WEWU8M, 81, 366.3,432.9
WEWUDU, 73, 0,66.6
WEWTYW, 73, 66.6,133.2
WEWTNZ, 73, 133.2,199.8
WEWTR6, 73, 199.8,283.05
WEWTR5, 73, 283.05,366.3
WEWU9Q, 73, 366.3,432.9
WEWT05, 26, 0,133.2
WEWTVJ, 26, 133.2,266.4
WEWT0G, 26, 266.4,366.3
WEWUA0, 26, 366.3,432.9
Site_no_labor, 86, 0,450
WEWR9T, 87, 0,99.9
WEWTZK, 87, 99.9,183.15
WEWRVT, 87, 183.15,283.05
WEWTXX, 87, 283.05,366.3
WEWU82, 87, 366.3,432.9
WEWRR0, 40, 0,133.2
WEWTVL, 40, 133.2,266.4
WEWTR9, 40, 266.4,366.3
WEWU8T, 40, 366.3,432.9
Site_no_labor, 75, 0,450
WEWTQL, 88, 0,99.9
WEWQ6T, 88, 99.9,199.8
WEWN1N, 88, 199.8,266.4
WEWTRF, 88, 266.4,366.3
WEWU9N, 88, 366.3,432.9
Site_Down_1, 30, 0,450
WEWTN0, 76, 0,99.9
WEWTQG, 76, 99.9,199.8
WEWTV1, 76, 199.8,299.7
WEWTQ9, 76, 299.7,366.3
WEWUA1, 76, 366.3,432.9
Site_Main_1, 82, 0,450
WEWTJM, 22, 0,99.9
WEWTY2, 22, 99.9,199.8
WEWR9L, 22, 199.8,283.05
WEWRZK, 22, 283.05,382.95
WEWRCM, 84, 0,99.9
WEWRCR, 84, 99.9,183.15
WEWRCP, 84, 183.15,249.75
WEWTV8, 84, 249.75,316.35
WEWTVD, 84, 316.35,416.25
WEWR9C, 83, 0,99.9
WEWTZN, 83, 99.9,183.15
WEWTUM, 83, 183.15,283.05
WEWTQE, 83, 283.05,366.3
WEWU7W, 83, 366.3,432.9
Site_no_labor, 32, 0,450
Site_Down_3, 78, 0,450
Site_Down_2, 58, 0,450
WEWTYY, 74, 0,99.9
WEWTHE, 74, 99.9,199.8
WEWU1F, 74, 199.8,299.7
WEWQZ7, 74, 299.7,366.3
WEWU7X, 74, 366.3,432.9
 hours filled: 119

------------------------------
0.000000: Added test WEWU80 to the queue and rescheduled
WEWTYY, 74, 0,99.9
WEWTHE, 74, 99.9,199.8
WEWTV1, 74, 199.8,299.7
WEWTQ9, 74, 299.7,366.3
WEWU9Q, 74, 366.3,432.9
Site_Down_2, 58, 0,450
Site_Down_3, 78, 0,450
Site_no_labor, 32, 0,450
WEWR9C, 83, 0,99.9
WEWTZN, 83, 99.9,183.15
WEWTUM, 83, 183.15,283.05
WEWT27, 83, 283.05,366.3
WEWUA0, 83, 366.3,432.9
WEWRCM, 84, 0,99.9
WEWRCR, 84, 99.9,183.15
WEWRCP, 84, 183.15,249.75
WEWTV8, 84, 249.75,316.35
WEWTVD, 84, 316.35,416.25
WEWTJM, 22, 0,99.9
WEWTQU, 22, 99.9,199.8
WEWR9L, 22, 199.8,283.05
WEWRZK, 22, 283.05,382.95
Site_Main_1, 82, 0,450
WEWTN0, 76, 0,99.9
WEWTNQ, 76, 99.9,199.8
WEWTQP, 76, 199.8,299.7
WEWQZ7, 76, 299.7,366.3
WEWU8M, 76, 366.3,432.9
Site_Down_1, 30, 0,450
WEWTQL, 88, 0,99.9
WEWQ6T, 88, 99.9,199.8
WEWN1N, 88, 199.8,266.4
WEWTRF, 88, 266.4,366.3
WEWU9N, 88, 366.3,432.9
Site_no_labor, 75, 0,450
WEWR9T, 87, 0,99.9
WEWTZK, 87, 99.9,183.15
WEWRVT, 87, 183.15,283.05
WEWTR5, 87, 283.05,366.3
WEWU7X, 87, 366.3,432.9
WEWRR0, 40, 0,133.2
WEWTVL, 40, 133.2,266.4
WEWTR9, 40, 266.4,366.3
WEWU82, 40, 366.3,432.9
Site_no_labor, 86, 0,450
WEWUDU, 73, 0,66.6
WEWTNZ, 73, 66.6,133.2
WEWTYW, 73, 133.2,199.8
WEWTRD, 73, 199.8,283.05
WEWTQE, 73, 283.05,366.3
WEWU8T, 73, 366.3,432.9
WEWT05, 26, 0,133.2
WEWTVJ, 26, 133.2,266.4
WEWT0G, 26, 266.4,366.3
WEWU7W, 26, 366.3,432.9
WEWR8H, 34, 0,99.9
WEWTY2, 34, 99.9,199.8
WEWTHK, 34, 199.8,299.7
WEWUAV, 34, 299.7,399.6
WEWTQJ, 81, 0,99.9
WEWTQW, 81, 99.9,199.8
WEWTR6, 81, 199.8,283.05
WEWTQB, 81, 283.05,366.3
WEWUA1, 81, 366.3,432.9
WEWRWM, 80, 0,166.5
WEWRC2, 80, 166.5,333
WEWU6E, 80, 333,416.25
WEWU11, 72, 0,99.9
WEWRZ7, 72, 99.9,199.8
WEWT2G, 72, 199.8,283.05
WEWTWX, 72, 283.05,366.3
WEWU8L, 72, 366.3,432.9
WEWRPA, 24, 0,166.5
WEWTQG, 24, 166.5,266.4
WEWTVA, 24, 266.4,382.95
WEWU0Z, 70, 0,99.9
WEWTY6, 70, 99.9,199.8
WEWU1F, 70, 199.8,299.7
WEWTXX, 70, 299.7,382.95
WEWU8V, 70, 382.95,432.9
WEWTUD, 89, 0,99.9
WEWTNM, 89, 99.9,199.8
WEWU80, 89, 199.8,199.8
WEWTU5, 89, 199.8,333
WEWUAX, 89, 333,432.9
Site_no_labor, 85, 0,450
 hours filled: 119

------------------------------
0.000000: Added test WEWU8Q to the queue and rescheduled
Site_no_labor, 85, 0,450
WEWTUD, 89, 0,99.9
WEWTNM, 89, 99.9,199.8
WEWU8Q, 89, 199.8,199.8
WEWTU5, 89, 199.8,333
WEWUAV, 89, 333,432.9
WEWU0Z, 70, 0,99.9
WEWTY6, 70, 99.9,199.8
WEWTV1, 70, 199.8,299.7
WEWTQB, 70, 299.7,382.95
WEWU8V, 70, 382.95,432.9
WEWRPA, 24, 0,166.5
WEWTNQ, 24, 166.5,266.4
WEWTVA, 24, 266.4,382.95
WEWU11, 72, 0,99.9
WEWRZ7, 72, 99.9,199.8
WEWTR6, 72, 199.8,283.05
WEWTXX, 72, 283.05,366.3
WEWUA0, 72, 366.3,432.9
WEWRWM, 80, 0,166.5
WEWRC2, 80, 166.5,333
WEWU6E, 80, 333,416.25
WEWR8H, 34, 0,99.9
WEWTQW, 34, 99.9,199.8
WEWTHK, 34, 199.8,299.7
WEWUAX, 34, 299.7,399.6
WEWTQJ, 81, 0,99.9
WEWTY2, 81, 99.9,199.8
WEWT2G, 81, 199.8,283.05
WEWT27, 81, 283.05,366.3
WEWU8T, 81, 366.3,432.9
WEWUDU, 73, 0,66.6
WEWTNZ, 73, 66.6,133.2
WEWTYW, 73, 133.2,199.8
WEWTRD, 73, 199.8,283.05
WEWTWX, 73, 283.05,366.3
WEWU82, 73, 366.3,432.9
WEWT05, 26, 0,133.2
WEWTVL, 26, 133.2,266.4
WEWT0G, 26, 266.4,366.3
WEWU8L, 26, 366.3,432.9
Site_no_labor, 86, 0,450
WEWR9T, 87, 0,99.9
WEWTZK, 87, 99.9,183.15
WEWRVT, 87, 183.15,283.05
WEWTQE, 87, 283.05,366.3
WEWUA1, 87, 366.3,432.9
WEWRR0, 40, 0,133.2
WEWTVJ, 40, 133.2,266.4
WEWRZK, 40, 266.4,366.3
WEWU7X, 40, 366.3,432.9
Site_no_labor, 75, 0,450
WEWTQL, 88, 0,99.9
WEWQ6T, 88, 99.9,199.8
WEWN1N, 88, 199.8,266.4
WEWTRF, 88, 266.4,366.3
WEWU7W, 88, 366.3,432.9
Site_Down_1, 30, 0,450
WEWTN0, 76, 0,99.9
WEWTQG, 76, 99.9,199.8
WEWTHE, 76, 199.8,299.7
WEWTQ9, 76, 299.7,366.3
WEWU9Q, 76, 366.3,432.9
Site_Main_1, 82, 0,450
WEWTJM, 22, 0,99.9
WEWTQU, 22, 99.9,199.8
WEWR9L, 22, 199.8,283.05
WEWTR9, 22, 283.05,382.95
WEWRCM, 84, 0,99.9
WEWRCR, 84, 99.9,183.15
WEWRCP, 84, 183.15,249.75
WEWTV8, 84, 249.75,316.35
WEWTVD, 84, 316.35,416.25
WEWR9C, 83, 0,99.9
WEWTZN, 83, 99.9,183.15
WEWTUM, 83, 183.15,283.05
WEWTR5, 83, 283.05,366.3
WEWU9N, 83, 366.3,432.9
Site_no_labor, 32, 0,450
Site_Down_3, 78, 0,450
Site_Down_2, 58, 0,450
WEWTYY, 74, 0,99.9
WEWU1F, 74, 99.9,199.8
WEWTQP, 74, 199.8,299.7
WEWQZ7, 74, 299.7,366.3
WEWU8M, 74, 366.3,432.9
 hours filled: 119

------------------------------
0.000000: Added test WEWRZK to the queue and rescheduled
WEWTYY, 74, 0,99.9
WEWU1F, 74, 99.9,199.8
WEWTHE, 74, 199.8,299.7
WEWTQ9, 74, 299.7,366.3
WEWU82, 74, 366.3,432.9
Site_Down_2, 58, 0,450
Site_Down_3, 78, 0,450
Site_no_labor, 32, 0,450
WEWR9C, 83, 0,99.9
WEWTZN, 83, 99.9,183.15
WEWTUM, 83, 183.15,283.05
WEWT27, 83, 283.05,366.3
WEWU8L, 83, 366.3,432.9
WEWRCM, 84, 0,99.9
WEWRCR, 84, 99.9,183.15
WEWRCP, 84, 183.15,249.75
WEWTV8, 84, 249.75,316.35
WEWTVD, 84, 316.35,416.25
WEWTJM, 22, 0,99.9
WEWTQW, 22, 99.9,199.8
WEWR9L, 22, 199.8,283.05
WEWTR9, 22, 283.05,382.95
Site_Main_1, 82, 0,450
WEWTN0, 76, 0,99.9
WEWTNM, 76, 99.9,199.8
WEWTV1, 76, 199.8,299.7
WEWQZ7, 76, 299.7,366.3
WEWU8T, 76, 366.3,432.9
Site_Down_1, 30, 0,450
WEWTQL, 88, 0,99.9
WEWQ6T, 88, 99.9,199.8
WEWN1N, 88, 199.8,266.4
WEWTRF, 88, 266.4,366.3
WEWU7W, 88, 366.3,432.9
Site_no_labor, 75, 0,450
WEWR9T, 87, 0,99.9
WEWTZK, 87, 99.9,183.15
WEWRVT, 87, 183.15,283.05
WEWTWX, 87, 283.05,366.3
WEWU8M, 87, 366.3,432.9
WEWRR0, 40, 0,133.2
WEWTVJ, 40, 133.2,266.4
WEWRZK, 40, 266.4,366.3
WEWUA1, 40, 366.3,432.9
Site_no_labor, 86, 0,450
WEWUDU, 73, 0,66.6
WEWTYW, 73, 66.6,133.2
WEWTNZ, 73, 133.2,199.8
WEWTR6, 73, 199.8,283.05
WEWTR5, 73, 283.05,366.3
WEWU7X, 73, 366.3,432.9
WEWT05, 26, 0,133.2
WEWTVL, 26, 133.2,266.4
WEWT0G, 26, 266.4,366.3
WEWU9N, 26, 366.3,432.9
WEWR8H, 34, 0,99.9
WEWTQU, 34, 99.9,199.8
WEWTHK, 34, 199.8,299.7
WEWUAV, 34, 299.7,399.6
WEWTQJ, 81, 0,99.9
WEWTY2, 81, 99.9,199.8
WEWTRD, 81, 199.8,283.05
WEWTXX, 81, 283.05,366.3
WEWU9Q, 81, 366.3,432.9
WEWRWM, 80, 0,166.5
WEWRC2, 80, 166.5,333
WEWU6E, 80, 333,416.25
WEWU11, 72, 0,99.9
WEWRZ7, 72, 99.9,199.8
WEWT2G, 72, 199.8,283.05
WEWTQB, 72, 283.05,366.3
WEWUA0, 72, 366.3,432.9
WEWRPA, 24, 0,166.5
WEWTQG, 24, 166.5,266.4
WEWTVA, 24, 266.4,382.95
WEWU0Z, 70, 0,99.9
WEWTY6, 70, 99.9,199.8
WEWTQP, 70, 199.8,299.7
WEWTQE, 70, 299.7,382.95
WEWU84, 70, 382.95,432.9
WEWTUD, 89, 0,99.9
WEWTNQ, 89, 99.9,199.8
WEWRZK, 89, 199.8,199.8
WEWTU5, 89, 199.8,333
WEWUAX, 89, 333,432.9
Site_no_labor, 85, 0,450
 hours filled: 119

------------------------------
0.000000: Added test WEWU9T to the queue and rescheduled
Site_no_labor, 85, 0,450
WEWTUD, 89, 0,99.9
WEWTNQ, 89, 99.9,199.8
WEWU9T, 89, 199.8,199.8
WEWTU5, 89, 199.8,333
WEWUAV, 89, 333,432.9
WEWU0Z, 70, 0,99.9
WEWTY6, 70, 99.9,199.8
WEWTHE, 70, 199.8,299.7
WEWTXX, 70, 299.7,382.95
WEWU84, 70, 382.95,432.9
WEWRPA, 24, 0,166.5
WEWTNM, 24, 166.5,266.4
WEWTVA, 24, 266.4,382.95
WEWU11, 72, 0,99.9
WEWRZ7, 72, 99.9,199.8
WEWTRD, 72, 199.8,283.05
WEWTQE, 72, 283.05,366.3
WEWU8L, 72, 366.3,432.9
WEWRWM, 80, 0,166.5
WEWRC2, 80, 166.5,333
WEWU6E, 80, 333,416.25
WEWR8H, 34, 0,99.9
WEWTY2, 34, 99.9,199.8
WEWTHK, 34, 199.8,299.7
WEWUAX, 34, 299.7,399.6
WEWTQJ, 81, 0,99.9
WEWTQU, 81, 99.9,199.8
WEWT2G, 81, 199.8,283.05
WEWT27, 81, 283.05,366.3
WEWU7X, 81, 366.3,432.9
WEWUDU, 73, 0,66.6
WEWTYW, 73, 66.6,133.2
WEWTNZ, 73, 133.2,199.8
WEWTR6, 73, 199.8,283.05
WEWTQB, 73, 283.05,366.3
WEWUA1, 73, 366.3,432.9
WEWT05, 26, 0,133.2
WEWTVJ, 26, 133.2,266.4
WEWT0G, 26, 266.4,366.3
WEWUA0, 26, 366.3,432.9
Site_no_labor, 86, 0,450
WEWR9T, 87, 0,99.9
WEWTZK, 87, 99.9,183.15
WEWRVT, 87, 183.15,283.05
WEWTR5, 87, 283.05,366.3
WEWU9Q, 87, 366.3,432.9
WEWRR0, 40, 0,133.2
WEWTVL, 40, 133.2,266.4
WEWTR9, 40, 266.4,366.3
WEWU8M, 40, 366.3,432.9
Site_no_labor, 75, 0,450
WEWTQL, 88, 0,99.9
WEWQ6T, 88, 99.9,199.8
WEWN1N, 88, 199.8,266.4
WEWTRF, 88, 266.4,366.3
WEWU9N, 88, 366.3,432.9
Site_Down_1, 30, 0,450
WEWTN0, 76, 0,99.9
WEWTQG, 76, 99.9,199.8
WEWU1F, 76, 199.8,299.7
WEWTQ9, 76, 299.7,366.3
WEWU82, 76, 366.3,432.9
Site_Main_1, 82, 0,450
WEWTJM, 22, 0,99.9
WEWTQW, 22, 99.9,199.8
WEWR9L, 22, 199.8,283.05
WEWRZK, 22, 283.05,382.95
WEWRCM, 84, 0,99.9
WEWRCR, 84, 99.9,183.15
WEWRCP, 84, 183.15,249.75
WEWTV8, 84, 249.75,316.35
WEWTVD, 84, 316.35,416.25
WEWR9C, 83, 0,99.9
WEWTZN, 83, 99.9,183.15
WEWTUM, 83, 183.15,283.05
WEWTWX, 83, 283.05,366.3
WEWU7W, 83, 366.3,432.9
Site_no_labor, 32, 0,450
Site_Down_3, 78, 0,450
Site_Down_2, 58, 0,450
WEWTYY, 74, 0,99.9
WEWTQP, 74, 99.9,199.8
WEWTV1, 74, 199.8,299.7
WEWQZ7, 74, 299.7,366.3
WEWU8T, 74, 366.3,432.9
 hours filled: 119

------------------------------
0.000000: Added test WEWP8Y to the queue and rescheduled
WEWTYY, 74, 0,99.9
WEWTQP, 74, 99.9,199.8
WEWU1F, 74, 199.8,299.7
WEWTQ9, 74, 299.7,366.3
WEWUA1, 74, 366.3,432.9
Site_Down_2, 58, 0,450
Site_Down_3, 78, 0,450
Site_no_labor, 32, 0,450
WEWR9C, 83, 0,99.9
WEWTZN, 83, 99.9,183.15
WEWTUM, 83, 183.15,283.05
WEWT27, 83, 283.05,366.3
WEWUA0, 83, 366.3,432.9
WEWRCM, 84, 0,99.9
WEWRCR, 84, 99.9,183.15
WEWRCP, 84, 183.15,249.75
WEWTV8, 84, 249.75,316.35
WEWTVD, 84, 316.35,416.25
WEWTJM, 22, 0,99.9
WEWTY2, 22, 99.9,199.8
WEWR9L, 22, 199.8,283.05
WEWRZK, 22, 283.05,382.95
Site_Main_1, 82, 0,450
WEWTN0, 76, 0,99.9
WEWP8Y, 76, 99.9,99.9
WEWTNQ, 76, 99.9,199.8
WEWTHE, 76, 199.8,299.7
WEWQZ7, 76, 299.7,366.3
WEWU7X, 76, 366.3,432.9
Site_Down_1, 30, 0,450
WEWTQL, 88, 0,99.9
WEWQ6T, 88, 99.9,199.8
WEWN1N, 88, 199.8,266.4
WEWTRF, 88, 266.4,366.3
WEWU9N, 88, 366.3,432.9
Site_no_labor, 75, 0,450
WEWR9T, 87, 0,99.9
WEWTZK, 87, 99.9,183.15
WEWRVT, 87, 183.15,283.05
WEWTQB, 87, 283.05,366.3
WEWU8T, 87, 366.3,432.9
WEWRR0, 40, 0,133.2
WEWTVL, 40, 133.2,266.4
WEWTR9, 40, 266.4,366.3
WEWU9Q, 40, 366.3,432.9
Site_no_labor, 86, 0,450
WEWUDU, 73, 0,66.6
WEWTNZ, 73, 66.6,133.2
WEWTYW, 73, 133.2,199.8
WEWTRD, 73, 199.8,283.05
WEWTWX, 73, 283.05,366.3
WEWU8M, 73, 366.3,432.9
WEWT05, 26, 0,133.2
WEWTVJ, 26, 133.2,266.4
WEWT0G, 26, 266.4,366.3
