
------------------------------
3.000000: Removed WEWURJ from schedule and rescheduled --> Site Down
WEWV06, 74, 0,83.25
WEWV08, 74, 83.25,166.5
WEWUHU, 74, 166.5,233.1
WEWTRV, 74, 233.1,299.7
WEWTWT, 74, 299.7,366.3
WEWTG3, 74, 366.3,432.9
Site_PM , 78, 0,450
WEWT0V, 32, 0,149.85
WEWRR5, 32, 149.85,283.05
WEWUBE, 32, 283.05,382.95
Site_no_labor, 83, 0,450
WEWRCW, 84, 0,99.9
WEWUKH, 84, 99.9,199.8
WEWRCM, 84, 199.8,299.8
WEWTVD, 84, 299.8,399.8
WEWUMZ, 22, 0,99.9
WEWUL3, 22, 99.9,199.8
WEWUZB, 22, 199.8,266.4
WEWURZ, 22, 266.4,366.3
WEWUH0, 22, 366.3,432.9
WEWRD0, 82, 0,83.25
WEWUL5, 82, 83.25,149.85
WEWRCR, 82, 149.85,232.85
WEWRCP, 82, 232.85,299.85
WEWTV8, 82, 299.85,366.85
WEWRCU, 82, 366.85,433.85
WEWTPD, 76, 0,83.25
WEWUJ4, 76, 83.25,149.85
WEWUNL, 76, 149.85,249.75
WEWUPB, 76, 249.75,349.65
WEWUY7, 76, 349.65,432.9
WEWT7D, 30, 0,66.6
WEWT07, 30, 66.6,199.8
WEWRR6, 30, 199.8,333
WEWTRU, 30, 333,399.6
WEWUVW, 88, 0,99.9
WEWTFN, 88, 99.9,166.5
WEWTXU, 88, 166.5,283.05
WEWUHT, 88, 283.05,349.65
WEWUKL, 88, 349.65,399.6
WEWU28, 75, 0,66.6
WEWRCY, 75, 66.6,133.2
WEWT0J, 75, 133.2,233.1
Temperature Transition95, 75, 233.1,293.1
WEWUVG, 75, 293.1,393
Site_no_labor, 87, 0,450
WEWRZX, 40, 0,149.85
WEWQ7E, 40, 149.85,216.45
WEWURV, 40, 216.45,316.35
WEWV0A, 40, 316.35,416.25
WEWUN1, 86, 0,99.9
WEWTFM, 86, 99.9,183.15
WEWTXV, 86, 183.15,249.75
WEWU30, 86, 249.75,333
WEWT81, 86, 333,399.6
Site_no_labor, 73, 0,450
WEWT7C, 26, 0,116.55
WEWRYZ, 26, 116.55,249.75
WEWUGZ, 26, 249.75,349.65
WEWT82, 26, 349.65,416.25
WEWUW8, 34, 0,133.2
WEWUQZ, 34, 133.2,233.1
WEWT3W, 34, 233.1,333
WEWURL, 34, 333,432.9
WEWRZ9, 81, 0,99.9
WEWURE, 81, 99.9,233.1
WEWV0V, 81, 233.1,366.3
WEWT9U, 81, 366.3,432.9
Site_no_labor, 80, 0,450
WEWUVL, 72, 0,83.25
WEWUJ8, 72, 83.25,166.5
Temperature Transition20, 72, 166.5,196.5
WEWTYQ, 72, 196.5,279.75
Temperature Transition50, 72, 279.75,309.75
WEWTLH, 72, 309.75,393
WEWUW5, 24, 0,133.2
WEWURA, 24, 133.2,266.4
WEWURQ, 24, 266.4,366.3
WEWUMP, 24, 366.3,432.9
Site_no_labor, 70, 0,450
WEWUW4, 89, 0,133.2
WEWT4H, 89, 133.2,199.8
WEWT3R, 89, 199.8,333
WEWV0Z, 89, 333,432.9
WEWUXD, 85, 0,133.2
WEWUZJ, 85, 133.2,216.45
WEWUZV, 85, 216.45,299.7
WEWUR8, 85, 299.7,399.6
 hours filled: 121

------------------------------
3.000000: Removed WEWRCW from schedule and rescheduled --> Site Down
WEWUXD, 85, 0,133.2
WEWUZJ, 85, 133.2,216.45
WEWUZV, 85, 216.45,299.7
WEWUR8, 85, 299.7,399.6
WEWUW4, 89, 0,133.2
WEWT4H, 89, 133.2,199.8
WEWURA, 89, 199.8,333
WEWURV, 89, 333,432.9
Site_no_labor, 70, 0,450
WEWUW5, 24, 0,133.2
WEWT3R, 24, 133.2,266.4
WEWURL, 24, 266.4,366.3
WEWUMP, 24, 366.3,432.9
WEWUVL, 72, 0,83.25
WEWV08, 72, 83.25,166.5
Temperature Transition20, 72, 166.5,196.5
WEWTYQ, 72, 196.5,279.75
Temperature Transition50, 72, 279.75,309.75
WEWTLH, 72, 309.75,393
Site_no_labor, 80, 0,450
WEWUW8, 34, 0,133.2
WEWUQZ, 34, 133.2,233.1
WEWT3W, 34, 233.1,333
WEWURQ, 34, 333,432.9
WEWRZ9, 81, 0,99.9
WEWV0V, 81, 99.9,233.1
WEWURE, 81, 233.1,366.3
WEWT9U, 81, 366.3,432.9
Site_no_labor, 73, 0,450
WEWT7C, 26, 0,116.55
WEWT0J, 26, 116.55,216.45
WEWUGZ, 26, 216.45,316.35
WEWTRU, 26, 316.35,382.95
WEWU84, 26, 382.95,432.95
WEWUN1, 86, 0,99.9
WEWTFM, 86, 99.9,183.15
WEWTXV, 86, 183.15,249.75
WEWU30, 86, 249.75,333
WEWTWT, 86, 333,399.6
Site_no_labor, 87, 0,450
WEWRZX, 40, 0,149.85
WEWUZB, 40, 149.85,216.45
WEWV0A, 40, 216.45,316.35
WEWV0Z, 40, 316.35,416.25
WEWU28, 75, 0,66.6
WEWT07, 75, 66.6,199.8
Temperature Transition95, 75, 199.8,259.8
WEWUVG, 75, 259.8,359.7
WEWUVW, 88, 0,99.9
WEWTFN, 88, 99.9,166.5
WEWTXU, 88, 166.5,283.05
WEWT81, 88, 283.05,349.65
WEWUKL, 88, 349.65,399.6
WEWT7D, 30, 0,66.6
WEWRYZ, 30, 66.6,199.8
WEWRR6, 30, 199.8,333
WEWUHT, 30, 333,399.6
WEWTPD, 76, 0,83.25
WEWUJ4, 76, 83.25,149.85
WEWURG, 76, 149.85,249.75
WEWRV2, 76, 249.75,349.65
WEWUY7, 76, 349.65,432.9
WEWRD0, 82, 0,83.25
WEWUL5, 82, 83.25,149.85
WEWRCR, 82, 149.85,232.85
WEWRCP, 82, 232.85,299.85
WEWTV8, 82, 299.85,366.85
WEWRCU, 82, 366.85,433.85
WEWUMZ, 22, 0,99.9
WEWUL3, 22, 99.9,199.8
WEWQ7E, 22, 199.8,266.4
WEWURZ, 22, 266.4,366.3
WEWUH0, 22, 366.3,432.9
Site Issue Delay, 84, 0,39.6
WEWRCY, 84, 39.6,106.2
WEWUKH, 84, 106.2,206.1
WEWRCM, 84, 206.1,306.1
WEWTVD, 84, 306.1,406.1
Site_no_labor, 83, 0,450
WEWT0V, 32, 0,149.85
WEWRR5, 32, 149.85,283.05
WEWUBE, 32, 283.05,382.95
Site_PM , 78, 0,450
WEWV06, 74, 0,83.25
WEWUJ8, 74, 83.25,166.5
WEWT82, 74, 166.5,233.1
WEWUHU, 74, 233.1,299.7
WEWTRV, 74, 299.7,366.3
WEWTG3, 74, 366.3,432.9
 hours filled: 120

------------------------------
3.000000: Removed WEWTPD from schedule and rescheduled --> Site Down
WEWV06, 74, 0,83.25
WEWUJ8, 74, 83.25,166.5
WEWT82, 74, 166.5,233.1
WEWTRV, 74, 233.1,299.7
WEWUHU, 74, 299.7,366.3
WEWTG3, 74, 366.3,432.9
Site_PM , 78, 0,450
WEWT0V, 32, 0,149.85
WEWRR6, 32, 149.85,283.05
WEWUBE, 32, 283.05,382.95
Site_no_labor, 83, 0,450
Site Issue Delay, 84, 0,39.6
WEWRCY, 84, 39.6,106.2
WEWUKH, 84, 106.2,206.1
WEWRCM, 84, 206.1,306.1
